Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Napaporn Dental Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,dentist,dentist,Unknown,Unknown,Unknown,12.9369755,100.8845596
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,12.9331489,100.881067
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,12.9430463,100.8881188
โรงพยาบาลแม่สอด,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,+66-55-5312297;+66-55-542337,https://www.maesot-hospital.com/,Unknown,16.7102522,98.5725201
Super Drug,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,12.9453525,100.8887413
RC Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,12.9279446,100.8770177
Pro Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,12.9282527,100.8759211
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,12.9265717,100.8751743
รวมยา ฟาร์มาซี,Unknown,พัทยาสายสอง,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,12.9247861,100.8736411
OP Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,12.9247256,100.8732078
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,6.4921979,99.3086158
โรงพยาบาลธนบุรี,Unknown,อิสรภาพ 44,บางกอกน้อย,10700,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,13.7529428,100.480116
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,13.7554064,100.4789514
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,13.8341086,100.6977308
Korat MRI Medical Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,14.979431,102.0904725
โรงพยาบาลค่ายาสุรนารี (อาคารใหม่),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,14.9653301,102.0875294
โรงพยาบาลขะอำ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,12.8086056,99.9796308
โรงพยาบาลศรีนครินทร์,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,http://www.srinagarind.md.kku.ac.th,Unknown,16.4682595,102.8302327
โรงพยาบาล วัดหนองแวง,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.4088975,102.835041
โรงพยาบาลกรุงเทพ,Unknown,Maliwan Rd.,Khon Kaen,Unknown,Unknown,TH,hospital,Unknown,Unknown,Unknown,Unknown,16.4420747,102.8200449
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,12.9235039,100.8758374
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,12.9251493,100.8800733
Chanya,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,doctors,doctor,Unknown,Unknown,Unknown,12.900782,100.8700881
