Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
الصيدلية المركزية,Unknown,Unknown,تونس,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,36.8334563,10.1809179
مصحة الزيتونة,Unknown,Unknown,صفاقس,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,24/7,34.7406286,10.761164
مصحة ابن النفيس,Unknown,Unknown,Sfax,Unknown,Unknown,Unknown,clinic,clinic,+216 74 215 000,Unknown,24/7,34.7715355,10.7601643
مركز التصوير الطبي رباط المدينة,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,centre,Unknown,Unknown,Unknown,34.7411444,10.7605841
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,33.806592,10.9907164
Unknown,Unknown,Unknown,دقاش,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,33.9898937,8.224198
Unknown,Unknown,Unknown,دقاش,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,33.9862489,8.2195827
Unknown,Unknown,Unknown,توزر,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,33.9224214,8.1333922
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,33.9216749,8.136964
صيدلية الليل زهير العجيلي,Unknown,Route de Gremda Km 4,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,+216 74 266 380,Unknown,Mo-Su 19:30-08:30,34.7706035,10.7328268
صيدلية سهلة بسباس حرم الشعبوني,Unknown,Route de Gremda Km 5,صفاقس,Unknown,Unknown,Unknown,pharmacy,pharmacy,+216 74 267 616,Unknown,"Mo-Fr 08:30-13:00, 15:00-19:30; Sa 08:30-13:00",34.7722604,10.73123
صيدلية سمير السلامي,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,"Mo-Fr 08:30-13:00, 15:00-19:30; Sa 08:30-13:00",34.7744753,10.7292164
صيدلية منيرة بن سليمة حرم غربال,Unknown,طريق قرمدة,صفاقس,Unknown,Unknown,Unknown,pharmacy,pharmacy,+216 74 611 444,Unknown,"Mo-Fr 08:30-13:00, 15:00-19:30; Sa 08:30-13:00",34.7788242,10.7251899
صيدلية نجوى داود حرم بن جماعة,Unknown,Route de Gremda Km4 Sidi Abbes,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,+216 74 266 294,Unknown,"Mo-Fr 08:30-13:00, 15:00-19:30; Sa 08:30-13:00",34.7675549,10.7355729
صيدلية صفية عطية حرم الزريبي,Unknown,"Route de Gremda Km 3,5",صفاقس,3062,Unknown,Unknown,pharmacy,pharmacy,+216 74 265 265,Unknown,"Mo-Fr 08:30-13:00, 15:00-19:30; Sa 08:30-13:00",34.7639956,10.7385862
صيدلية عبد السلام غربال,Unknown,"Route El Ain Km 2,2 Merkez El Alia",صفاقس,3051,Unknown,Unknown,pharmacy,pharmacy,+216 74 247 527,Unknown,"Mo-Fr 08:30-13:00, 15:00-19:30; Sa 08:30-13:00",34.7476686,10.7387226
صيدلية محمد عباس,Unknown,Route Lafrane Km 4,صفاقس,Unknown,Unknown,Unknown,pharmacy,pharmacy,+216 74 267 276,Unknown,"Mo-Fr 08:30-13:00, 15:00-19:30; Sa 08:30-13:00",34.7653453,10.7252509
دلتا مديكال,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,36.8354994,10.1519488
حكموني,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,36.7697422,10.2325657
صيدلية الليل,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,36.7699674,10.2331504
Pharmacie la Poste,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,36.7689238,10.2364624
