Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
โรงพยาบาลศรีนครินทร์,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,http://www.srinagarind.md.kku.ac.th,Unknown,16.4682595,102.8302327
โรงพยาบาล วัดหนองแวง,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.4088975,102.835041
โรงพยาบาลกรุงเทพ,Unknown,Maliwan Rd.,Khon Kaen,Unknown,Unknown,TH,hospital,Unknown,Unknown,Unknown,Unknown,16.4420747,102.8200449
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,11.5311064,104.9349527
Pharmacie De La Gare,Unknown,Preah Monivong Blvd (St: 93),Phnom Penh,12201,Unknown,Unknown,pharmacy,Unknown,+855 23 430 205,Unknown,Mo-Sa 07:00-19:00; Su 07:00-17:00,11.5722833,104.9179827
Bệnh Viện Đa Khoa Tràng An,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,yes,Unknown,Unknown,Unknown,21.025734,105.8350183
Trạm y tế Trung Hòa,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,clinic,Unknown,Unknown,Unknown,21.0080088,105.8035297
โรงพยาบาลราชพฤกษ์,Unknown,Mittraphap Rd.,Khon Kaen,40000,Unknown,TH,hospital,Unknown,Unknown,Unknown,Unknown,16.4353594,102.824182
Trạm y tế,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,20.9209274,106.0948577
Thoumvanh,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.9303872,102.616832
Sengphet Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.966479,102.6146198
Baoshutang Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.9680978,102.6162894
Daluny Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.959891,102.617285
ໂຮງໝໍ 5 ເມສາ (ປກສ),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,17.9552214,102.6208821
Beausy Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.9541472,102.618569
Souliyaphet,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.9580225,102.6178193
Sengdao 1,Unknown,Nongbone Road,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,+856 21 255513,Unknown,Mo-Sa 08:30-17:30; Su 08:30-14:00,17.9655458,102.6165948
Sengdao 2,Unknown,Nongbone Road,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,+85621262707,Unknown,Mo-Sa 08:30-17:30,17.9657581,102.6168866
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.9653417,102.616406
ແສງສູກ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.9750743,102.6066265
Sivone Sunvannapham,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.9749087,102.6068583
Sommane,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.9748634,102.6068413
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.9698244,102.6142374
Shanghai,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.9722003,102.6148203
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.9733134,102.6130697
Cambodia Herbal Medicine,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.9729935,102.6125092
Paramy Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.9589463,102.61378
Noupheuak Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.9586744,102.6134929
Vane Somphone Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.9809502,102.6083924
State Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.9660165,102.6060955
Reul Health Centre,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,13.5384072,103.7314575
Char Chhuk Health Centre,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,13.6457244,103.6257034
Angkor Chum Referral Hospital,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,13.6839521,103.6464844
Tiem Thuoc Dong Y,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,10.1012715,105.7556329
Health Center Samrcngyear,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,13.3934629,103.7354838
Yetheux,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,19.5575231,102.231532
Amphaivanh,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,19.439506,102.4255904
Pohmeanchey Health Center,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,13.3250769,103.8400588
Men Chey Health Center,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,13.2961488,103.9987661
Chann Sor Health Center,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,13.3576431,104.0873693
Hospital of Region 4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,13.3549787,103.973775
ສົມວິຈີດ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,+865 21 313366,Unknown,Unknown,17.94846,102.6320342
Sengdao 3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,+856 21 319123,Unknown,Mo-Sa 08:30-18:00,17.9480543,102.6318955
Somchanh Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,18.0135995,102.6148588
Bounphone Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,18.0142543,102.6157031
Komphone Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,18.0141178,102.6155415
Chylaphongxavet Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,18.0161587,102.6166679
Khonsavanh Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,18.0151514,102.6164211
Bounnhing Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,18.0363651,102.632389
Bouathong Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,18.0396346,102.6327276
Vikham Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,18.0397891,102.6332564
Chane Thala Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,18.0422036,102.6356465
Vilaythong Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.9909252,102.625761
Bouavan Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,18.0030226,102.6272565
Phouthone Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,18.010751,102.6321522
Phaivanh Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,18.0151396,102.6328903
Somchai Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,18.0191681,102.6333102
Bouapha Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,18.0305689,102.6339536
Bounsavay Thongkhouang Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,18.0331536,102.6343907
โรงพยาบาลส่งเสริมสุขภาพตำบล กุงเก่า,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,clinic,Unknown,Unknown,Unknown,16.9114376,103.1735727
Dr. Inphew Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,18.0034529,102.6274314
Phitsamay Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,18.0038387,102.6275647
Chanchaleunxay Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,18.0041312,102.6276596
Sivilay Keolakhone Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,18.0042958,102.6277293
Kongchai Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,18.0051591,102.6281101
Sengkham Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,18.0102828,102.6319826
โรงพยาขาลหนองกุงศรี,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.649795,103.2964938
โรงพยาบาลน้ำพอง,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.7293044,102.8016952
โรงพยาบาล อำเภอโนนสะอาด,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,Unknown,Unknown,Unknown,Unknown,16.9582945,102.8911608
Bouathong Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,17.9809794,102.6228235
Bounhieng Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,17.9800113,102.622755
Kham Bang Osot Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,18.0316615,102.6343764
U-Care Pharmacy,Unknown,ផ្លូវ២ធ្នូ,Siem Reap,Unknown,Unknown,KH,pharmacy,Unknown,+855 63 965 396,ucarepharma.com,Unknown,13.3550407,103.8552839
ໂຮງໝໍເມືອງ ສີສັດຕະນາກ,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,hospital,hospital,Unknown,Unknown,Unknown,17.9143117,102.6202633
Pahonh Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.9235718,102.6175958
Kamphiane,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,+856 21 77915392,Unknown,Unknown,17.9274968,102.6162314
Khamla Chanthavong Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,pharmacy,Unknown,Unknown,Unknown,17.9759047,102.6308324
Vilaylak Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,pharmacy,Unknown,Unknown,Unknown,Unknown,17.9929328,102.6391682
