Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Andorra,hospital,hospital,Unknown,Unknown,Unknown,42.5527445,1.6281598
Farmàcia Rocamora,Unknown,Unknown,Unknown,Unknown,Unknown,Andorra,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.508252,1.5339584
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Andorra,pharmacy,pharmacy,+376 828 717,Unknown,Unknown,42.5084733,1.5319874
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Andorra,veterinary,Healthcare Services,Unknown,Unknown,Unknown,42.5459855,1.5151746
Farmacia Garalla,Unknown,Avinguda Sant Antoni,La Massana,AD400,Unknown,Andorra,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5464466,1.5141083
Unknown,Unknown,Avinguda Sant Antoni,La Massana,AD400,Unknown,Andorra,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5451142,1.5151179
Farmàcia de les Escoles,Unknown,Unknown,Unknown,Unknown,Unknown,Andorra,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5097292,1.5406185
Berdental,Unknown,Carrer de la Unió,Unknown,Unknown,Unknown,Andorra,dentist,dentist,+376 821 712,http://www.ber.dental,Mo-We 09:15-17:15; Tu-Th 12:00-20:00; Fr 09:15-14:00,42.5067594,1.5344867
Centre de rehabilitació funcional Lourdes Guardia,Unknown,Plaça Coprínceps,Unknown,Unknown,Unknown,Andorra,doctors,doctor,+376 800 690,Unknown,Unknown,42.5087352,1.5398243
Bio-Centre,Unknown,Unknown,Unknown,Unknown,Unknown,Andorra,doctors,doctor,Unknown,Unknown,Unknown,42.5085424,1.5362728
Farmàcia Manresa,Unknown,Plaça del Consell,Encamp,AD200,Unknown,Andorra,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5362656,1.5825936
Unknown,Unknown,Avinguda de François Mitterrand,Unknown,Unknown,Unknown,Andorra,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5367021,1.5830445
Galeno,Unknown,Unknown,Unknown,Unknown,Unknown,Andorra,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5087827,1.5342651
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Andorra,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5084629,1.5350342
Farmacia Pirineus,Unknown,Unknown,Unknown,Unknown,Unknown,Andorra,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5088247,1.5356696
Farmàcia Europa,Unknown,Unknown,Escaldes-Engordany,Unknown,Unknown,Andorra,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5085366,1.5361153
Farmacia Carlemany,Unknown,Unknown,Unknown,Unknown,Unknown,Andorra,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5086569,1.5376578
Farmacia Guerrero,Unknown,Unknown,Unknown,Unknown,Unknown,Andorra,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5086226,1.539779
Roser Miró,Unknown,Unknown,Unknown,Unknown,Unknown,Andorra,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5073253,1.5328032
Farmacia Galeno 3,Unknown,Unknown,Andorra la Vella,Unknown,Unknown,Andorra,pharmacy,pharmacy,Unknown,Unknown,Unknown,42.5085881,1.5336527
Osteopata Blanchon,Unknown,Avinguda de François Mitterrand,Unknown,Unknown,Unknown,Andorra,doctors,doctor,+376 728 148,Unknown,"Mo-Sa 09:00-13:00, 14:00-20:00",42.5358795,1.582083
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Andorra,pharmacy,pharmacy,Unknown,Unknown,"Mo-Sa 09:00-14:00,16:00-20:00; Su 09:30-13:15,13:30-20:00; Sa 09:00-17:00; PH closed",42.5656271,1.5972618
Farmàcia Baixench,Unknown,Plaça del Consell,Encamp,AD200,Unknown,Andorra,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,42.5358218,1.5822472
Centre d'atenció primaria La Llanterna,Unknown,Unknown,Unknown,Unknown,Unknown,Andorra,clinic,clinic,Unknown,Unknown,Unknown,42.5149379,1.5315156
IMO Andorra,Unknown,Unknown,Unknown,Unknown,Unknown,Andorra,clinic,clinic,+376 885 544,https://www.imo.es/nuestras-clinicas/imo-andorra/,Unknown,42.5097813,1.5347466
Centre Mèdic i Quirúrgic,Unknown,Avinguda de les Nacions Unides,Escaldes-Engordany,AD700,Unknown,Andorra,clinic,clinic,+376 801 222,https://cmqandorra.com/,Unknown,42.5096389,1.5347278
