Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Clínica del Parque,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,hospital,Healthcare Services,Unknown,Unknown,24/7,4.5446278,-75.6629953
Clínica La Sagrada Familia,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,hospital,hospital,Unknown,Unknown,Unknown,4.5386628,-75.668135
Cruz Verde,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,pharmacy,Unknown,Unknown,Mo-Sa 07:30-21:00; Su 08:00-21:00,4.5387958,-75.6676413
Centro de Hemodinamia,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,hospital,Healthcare Services,Unknown,Unknown,Unknown,4.544315,-75.6615597
Clínica Gómez Arbeláez,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,clinic,Healthcare Services,Unknown,Unknown,Unknown,4.5450631,-75.6608457
Profamiliar,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,4.5446245,-75.6613987
Droguería Comfenalco,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,4.5447686,-75.6607337
Nueva EPS,Unknown,Calle 2da. Norte,Armenia,Unknown,Unknown,Armenia,hospital,hospital,Unknown,https://nuevaeps.com.co/,Unknown,4.5452383,-75.6629231
La rebaja plus,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,pharmacy,Unknown,Unknown,Mo-Su 08:00-21:00,4.5474007,-75.6619084
Droguería del Norte,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,4.548564,-75.6612863
Clínica La Providencia,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,hospital,Healthcare Services,Unknown,Unknown,Unknown,4.5514053,-75.6593265
La Rebaja - Mini Market,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.5522846,-75.6581008
Profamiliar,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,4.5565183,-75.656995
Farmacenter,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.524526,-75.6448117
PAU Salud Total,Unknown,Carrera 14,Armenia,Unknown,Unknown,Armenia,hospital,Healthcare Services,Unknown,Unknown,Unknown,4.5523544,-75.6580656
AsmetSalud,Unknown,Carrera 14,Armenia,Unknown,Unknown,Armenia,hospital,Healthcare Services,Unknown,Unknown,Unknown,4.5522056,-75.6581342
Neuroconexión,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,doctors,doctor,Unknown,Unknown,Unknown,4.5569903,-75.6567774
Audifarma,Unknown,Avenida Bolívar,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,4.5493846,-75.6601974
Cruz Verde,Unknown,Unknown,Armenia,Unknown,Unknown,Armenia,pharmacy,pharmacy,Unknown,Unknown,Unknown,4.5598837,-75.6551159
Don Saludero,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,Mo-Sa 08:30-20:00; Su 08:00-15:00; PH off,4.5426755,-75.6589545
Alemana,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,Mo-Sa 08:30-20:00; Su 08:00-15:00; PH off,4.5532222,-75.6580887
Cruz Verde,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,pharmacy,Unknown,Unknown,Mo-Sa 08:30-20:00; Su 08:00-15:00; PH off,4.5452545,-75.6619141
Municipal Droguerías 3,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,24/7,4.5371532,-75.6703936
Drogas Armenia,Unknown,Unknown,Unknown,Unknown,Unknown,Armenia,pharmacy,Healthcare Services,Unknown,Unknown,Mo-Sa 08:30-20:00; Su 08:00-15:00; PH off,4.5206039,-75.6980333
