Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Hamilton Pharmacy,Unknown,Parliament Street,City of Hamilton,HM 12,Unknown,Bermuda,pharmacy,pharmacy,+1-441-295-7004,Unknown,Unknown,32.2945829,-64.7820095
ReNew Dental Care,Unknown,Dundonald Street West,City of Hamilton,HM 09,Unknown,Bermuda,dentist,dentist,+1-441-400-5858,https://www.renewdentalcare.com/,Mo-Th 08:00-17:00; Fr 08:00-12:00,32.2957922,-64.7858585
Collector's Hill Apothecary,Unknown,Unknown,Unknown,Unknown,Unknown,Bermuda,pharmacy,pharmacy,Unknown,Unknown,Unknown,32.3047675,-64.7419703
Edgewood Pediatric Service,Unknown,Unknown,Unknown,Unknown,Unknown,Bermuda,clinic,clinic,Unknown,Unknown,Unknown,32.2951263,-64.7908925
Par-La-Ville Pharmacy,Unknown,Church Street,City of Hamilton,HM 11,Unknown,Bermuda,pharmacy,pharmacy,+1-441-296-5510,https://pharmacy.bm/,Unknown,32.2937733,-64.7877376
Solstice Holistic Wellness Centre,Unknown,Unknown,Unknown,Unknown,Unknown,Bermuda,clinic,clinic,Unknown,Unknown,Unknown,32.2910689,-64.7893918
Bermuda Podiatry Centre,Unknown,Gorham Road,Pembroke,HM 08,Unknown,Bermuda,doctors,podiatrist,+1-441-292-0243,https://www.podiatry.bm/,Unknown,32.2930401,-64.7885141
Serenity Dental – Dr. Keira Smith,Unknown,Brunswick Street,City of Hamilton,HM 10,Unknown,Bermuda,dentist,dentist,+1-441-295-2039,https://serenitydentalbda.com/,Unknown,32.2962241,-64.7835442
Somers Medical Services,Unknown,Victoria Street,City of Hamilton,HM 11,Unknown,Bermuda,clinic,clinic,+1-441-295-1110,https://somersmed.com/,Unknown,32.2949682,-64.7859898
Par-La-Ville Dental,Unknown,Par-La-Ville Road,City of Hamilton,HM 08,Unknown,Bermuda,dentist,dentist,+1-441-296-0011,https://www.parlavilledental.bm/,Unknown,32.2946425,-64.7880626
Lindo's Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Bermuda,pharmacy,pharmacy,+1-441-236-0010,https://lindos.bm/pharmacy/,Mo-Fr 08:00-19:00; Sa 08:00-18:00,32.2748378,-64.7943558
Lindo's Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Bermuda,pharmacy,pharmacy,+1-441-236-7732,https://lindos.bm/pharmacy/,Mo-Fr 08:00-19:00; Sa 08:00-18:00,32.3044332,-64.7522954
