Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Adil’s,Unknown,Unknown,Unknown,Unknown,Unknown,Burundi,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,-3.4281635,29.926297
Centre de Santé de Songa,Unknown,Unknown,Unknown,Unknown,Unknown,Burundi,doctors,Healthcare Services,Unknown,Unknown,Unknown,-3.4611278,29.9490548
Pharmacie Vétérinaire,Unknown,Unknown,Unknown,Unknown,Unknown,Burundi,pharmacy,pharmacy,Unknown,Unknown,Unknown,-3.4316711,29.9260524
Clinique Vision-Santé,Unknown,Unknown,Unknown,Unknown,Unknown,Burundi,clinic,Healthcare Services,Unknown,Unknown,24/7,-3.4267601,29.9262296
CDS MARIYA MWIZA,Unknown,Unknown,Unknown,Unknown,Unknown,Burundi,hospital,Healthcare Services,Unknown,Unknown,Unknown,-3.406484,29.908807
CENTRE MEDICAL SOS,Unknown,Unknown,Unknown,Unknown,Unknown,Burundi,hospital,Healthcare Services,Unknown,Unknown,Unknown,-3.4443802,29.9375356
Centre Médical Musinzira,Unknown,Unknown,Unknown,Unknown,Unknown,Burundi,hospital,hospital,Unknown,Unknown,Unknown,-3.427713,29.923487
CDS Nyamugari,Unknown,Unknown,Unknown,Unknown,Unknown,Burundi,hospital,hospital,Unknown,Unknown,Unknown,-3.428476,29.922175
CDS LE MESSAGER,Unknown,Unknown,Unknown,Unknown,Unknown,Burundi,hospital,Healthcare Services,Unknown,Unknown,Unknown,-3.432616,29.946187
Pharmacie Salama,Unknown,Unknown,Unknown,Unknown,Unknown,Burundi,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,-3.4293031,29.9260627
