Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Dr. Carolin Hohlstein,Unknown,Untermarkt,Mühlhausen,99974,Unknown,Germany,dentist,dentist,Unknown,Unknown,"Mo 08:00-12:00,13:00-15:00; Tu,Th 08:00-12:00,14:00-18:00; We,Fr 08:00-12:00",51.2077254,10.4607526
Tierklinik Ortmann & Stief,Unknown,An den Wiesen,Mühlhausen/Thüringen,99974,Unknown,Germany,veterinary,Healthcare Services,Unknown,Unknown,"Mo-Fr 08:30-11:00,14:00-18:00; Sa 09:00-11:00; Su off",51.196304,10.470137
Brunnenkreß - Apotheke,Unknown,Brunnenkreßstraße,Mühlhausen,99974,Unknown,Germany,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 08:00-18:00; Th 08:00-19:00; Sa 08:30-12:00,51.2066568,10.4602437
Adler-Apotheke,Unknown,Wanfrieder Straße,Mühlhausen,99974,Unknown,Germany,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 08:00-18:30; Sa 08:30-12:30,51.2039839,10.4444825
Jacobi-Apotheke,Unknown,Felchtaer Straße,Mühlhausen,99974,Unknown,Germany,pharmacy,pharmacy,+49 3601 481 660,https://www.jakobi-apotheke-muehlhausen.de/,Mo-Fr 08:00-18:00; Sa 08:30-12:00,51.2071819,10.4548894
Andrea Köthe,Unknown,Untermarkt,Mühlhausen,99974,Unknown,Germany,dentist,dentist,Unknown,Unknown,Unknown,51.207595,10.46038
Lindenblüten-Apotheke,Unknown,Thälmannstraße,Mühlhausen,99974,Unknown,Germany,pharmacy,pharmacy,Unknown,Unknown,Unknown,51.2057671,10.4726085
Allgemeinmedizin,Unknown,Am Anger,Vogtei,99986,Unknown,Germany,doctors,doctor,Unknown,Unknown,"Mo,Tu 08:00-12:00,16:00-17:30; We 09:00-12:00; Th 09:30-12:00; Fr 08:00-12:00",51.1647443,10.4203225
Gemeinschaftspraxis Sippel,Unknown,Lindenbühl,Mühlhausen,99974,Unknown,Germany,doctors,doctor,Unknown,Unknown,"Mo-Fr 08:00-12:00, Mo 14:00-16:00, Tu 15:00-17:00, Th 15:00-18:00",51.2058084,10.4578985
Chirurgische Geimenschaftspraxis Dr Schöneich Dr Nostitz,Unknown,Lindenbühl,Mühlhausen/Thüringen,99974,Unknown,Germany,doctors,doctor,Unknown,Unknown,Unknown,51.2058582,10.4586753
Anger-Apotheke,Unknown,Am Anger,Vogtei,99986,Unknown,Germany,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 08:00-18:00; Sa 08:00-11:00,51.1655307,10.4190022
Christian Greiner,Unknown,Schillerweg,Mühlhausen,99974,Unknown,Germany,doctors,doctor,+49 3601 870142,Unknown,Mo-Fr 08:00-12:00; Tu 16:00-19:00; Th 144:00-17:00,51.2029215,10.4531006
Dr. Sandra Kollaschek,Unknown,Lindenbühl,Unknown,Unknown,Unknown,Germany,dentist,dentist,03601870294,https://www.zahnarztpraxis-dr-kollascheck.de,"Mo,Th 08:00-13:00,14:00-18:00; Tu 08:00-12:00; We 13:00-19:00; Fr 08:00-13:00; Sa-Su off",51.2060491,10.4616246
