Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
St Bernard's Hospital,Unknown,Unknown,Gibraltar,Unknown,Unknown,Gibraltar,hospital,hospital,Unknown,Unknown,Unknown,36.1432246,-5.3594905
Gibraltar Vets,Unknown,Unknown,Unknown,Unknown,Unknown,Gibraltar,veterinary,Healthcare Services,Unknown,Unknown,Unknown,36.1209091,-5.3518327
Farmacia Coello Fdez.,Unknown,Avenida del Ejército,La Línea de la Concepción,11300,Unknown,Gibraltar,pharmacy,pharmacy,+34 956 17 09 70,Unknown,Unknown,36.1594776,-5.349078
Clínica Mir,Unknown,Unknown,La Línea de la Concepción,Unknown,Unknown,Gibraltar,clinic,clinic,Unknown,Unknown,Unknown,36.1617673,-5.3557871
Farmacia G. Duarte,Unknown,Unknown,Unknown,Unknown,Unknown,Gibraltar,pharmacy,pharmacy,Unknown,Unknown,Unknown,36.1629897,-5.3547579
Farmacia Delgado Luque,Unknown,Unknown,La Línea de la Concepción,11300,Unknown,Gibraltar,pharmacy,pharmacy,Unknown,Unknown,Unknown,36.1644744,-5.3565482
Clínica Campos,Unknown,Unknown,Unknown,Unknown,Unknown,Gibraltar,clinic,clinic,Unknown,Unknown,Unknown,36.1610521,-5.3520505
Dr. Mateos,Unknown,Calle Moreno de Mora,La Línea de la Concepción,11300,Unknown,Gibraltar,dentist,dentist,Unknown,Unknown,Unknown,36.1617577,-5.353703
Gibraltar Orthopaedic & Medical Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Gibraltar,doctors,doctor,Unknown,Unknown,Unknown,36.1426066,-5.3538844
Valmar Pharmacy Europort,Unknown,Europort Road,Gibraltar,GX11 1AA,Unknown,Gibraltar,pharmacy,pharmacy,Unknown,Unknown,Unknown,36.1434097,-5.3577767
The Chiropractic and Laser Clinic,Unknown,Main Street,Unknown,Unknown,Unknown,Gibraltar,clinic,clinic,+35020044226,https://gibraltarbackdoctor.com/,"Mo, We 08:15-16:00; Tu 13:30-15:30; Fr 08:30-10:30; Th 08:15-14:00",36.1442342,-5.3535718
Ocean Pharmacy,Unknown,Ocean Village Avenue,Gibraltar,GX11 1AA,Unknown,Gibraltar,pharmacy,pharmacy,Unknown,Unknown,Unknown,36.1460967,-5.3542091
Trafalgar Pharmacy (Europort),Unknown,Unknown,Unknown,Unknown,Unknown,Gibraltar,pharmacy,pharmacy,Unknown,Unknown,Unknown,36.1424013,-5.3580741
Morrisons Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Gibraltar,pharmacy,pharmacy,Unknown,Unknown,Unknown,36.1443956,-5.3602119
