Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Admiral Pharmacy,Unknown,Admiral Park,"St Peter Port, Guernsey",GY1 2AL,Unknown,Guernsey,pharmacy,pharmacy,+44 1481 728840,http://www.healthcarepharmacies.net/admiral.html,Mo-Sa 09:00-18:00,49.4672692,-2.537014
Rohais Pharmacy,Unknown,Rohais,St Peter Port,GY1 1FF,Unknown,Guernsey,pharmacy,pharmacy,Unknown,Unknown,Unknown,49.4603799,-2.5601453
Lloyds,Unknown,Unknown,Unknown,Unknown,Unknown,Guernsey,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,49.476965,-2.5231719
Choices,Unknown,Unknown,Unknown,Unknown,Unknown,Guernsey,clinic,clinic,Unknown,Unknown,Unknown,49.4566651,-2.5359749
Island Health Town Surgery,Unknown,Unknown,Unknown,Unknown,Unknown,Guernsey,clinic,clinic,Unknown,Unknown,Unknown,49.4581055,-2.536904
Body Logic,Unknown,Unknown,Unknown,Unknown,Unknown,Guernsey,clinic,clinic,Unknown,Unknown,Unknown,49.4549845,-2.5367836
Co-Op Pharmacy Locale,Unknown,Commercial Arcade,Unknown,Unknown,Unknown,Guernsey,pharmacy,pharmacy,Unknown,Unknown,Unknown,49.455008,-2.5369544
Feel Unique,Unknown,Unknown,Unknown,Unknown,Unknown,Guernsey,pharmacy,pharmacy,Unknown,Unknown,Unknown,49.4546039,-2.537431
Guernsey Dental Laboratory,Unknown,Unknown,Unknown,Unknown,Unknown,Guernsey,dentist,dentist,Unknown,Unknown,Unknown,49.4350662,-2.5518435
Avenue Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Guernsey,clinic,clinic,Unknown,Unknown,Unknown,49.4783408,-2.5758093
Renal Unit,Unknown,Unknown,Unknown,Unknown,Unknown,Guernsey,hospital,hospital,Unknown,Unknown,Unknown,49.448617,-2.5581725
Guernsey Smile Centre,Unknown,Unknown,Unknown,Unknown,Unknown,Guernsey,dentist,dentist,Unknown,Unknown,Unknown,49.4578678,-2.5352161
Boots,Unknown,Unknown,Unknown,Unknown,Unknown,Guernsey,pharmacy,pharmacy,Unknown,Unknown,Unknown,49.4563863,-2.5359235
Healthspan,Unknown,Unknown,Unknown,Unknown,Unknown,Guernsey,pharmacy,pharmacy,Unknown,Unknown,Unknown,49.4549877,-2.5364055
Health Exchange,Unknown,Unknown,Unknown,Unknown,Unknown,Guernsey,pharmacy,pharmacy,Unknown,Unknown,Unknown,49.4533663,-2.5359463
Co-Op Pharmacy Locale,Unknown,Unknown,Unknown,Unknown,Unknown,Guernsey,pharmacy,pharmacy,Unknown,Unknown,Unknown,49.4564588,-2.5362794
Queens Road Medical Practice,Unknown,The Grange,St. Peter Port,GY1 1RH,Unknown,Guernsey,doctors,doctor,Unknown,https://qrmp.gg,Unknown,49.4552544,-2.5452447
