Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Hong Kong,pharmacy,pharmacy,Unknown,Unknown,Unknown,22.3183357,114.175199
萬寧 Mannings,Unknown,Castle Peak Road,Unknown,Unknown,Unknown,Hong Kong,pharmacy,pharmacy,Unknown,Unknown,Unknown,22.3361273,114.1594835
519醫療中心 519 Medical Centre,Unknown,彌敦道 Nathan Road,Unknown,Unknown,Unknown,Hong Kong,doctors,Healthcare Services,Unknown,Unknown,Unknown,22.3126818,114.1705442
萬寧 Mannings,Unknown,西洋菜南街 Sai Yeung Choi Street South,Unknown,Unknown,Unknown,Hong Kong,pharmacy,pharmacy,Unknown,Unknown,Unknown,22.3178774,114.1704062
龍豐Mall,Unknown,奶路臣街 Nelson Street,Unknown,Unknown,Unknown,Hong Kong,pharmacy,pharmacy,Unknown,Unknown,Unknown,22.3185106,114.1709072
萬寧 Mannings,Unknown,Unknown,Unknown,Unknown,Unknown,Hong Kong,pharmacy,pharmacy,Unknown,Unknown,Unknown,22.3200395,114.1770299
萬寧 Mannings,Unknown,福利街 Fuk Lee Street,"Tai Kok Tsui, Kowloon",Unknown,Unknown,Hong Kong,pharmacy,pharmacy,Unknown,Unknown,Unknown,22.324366,114.1610848
萬寧 Mannings,Unknown,Unknown,Unknown,Unknown,Unknown,Hong Kong,pharmacy,pharmacy,Unknown,Unknown,Unknown,22.3195804,114.1627343
萬寧 Mannings,Unknown,Unknown,Unknown,Unknown,Unknown,Hong Kong,pharmacy,pharmacy,Unknown,Unknown,Unknown,22.3213416,114.1615988
Unknown,Unknown,馬頭角道 Ma Tau Kok Road,Unknown,Unknown,Unknown,Hong Kong,doctors,doctor,Unknown,Unknown,Unknown,22.3218603,114.1897635
萬寧 Mannings,Unknown,荔枝角道 Lai Chi Kok Road,深水埗區 Sham Shui Po District,Unknown,Unknown,Hong Kong,pharmacy,pharmacy,Unknown,Unknown,Unknown,22.3285176,114.160843
屈臣氏 Watsons,Unknown,Unknown,Unknown,Unknown,Unknown,Hong Kong,pharmacy,pharmacy,Unknown,Unknown,Unknown,22.3753284,114.1778451
屈臣氏 Watsons,Unknown,Unknown,Unknown,Unknown,Unknown,Hong Kong,pharmacy,pharmacy,Unknown,Unknown,Unknown,22.3800225,114.1967629
Hang Seng Medical Practice,Unknown,Unknown,Unknown,Unknown,Unknown,Hong Kong,doctors,doctor,Unknown,Unknown,Unknown,22.3069811,114.1865745
Hung Hom Veterinary Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Hong Kong,veterinary,Healthcare Services,Unknown,Unknown,Unknown,22.3064554,114.1883374
