Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Island Pharmacy,Unknown,Gloucester Street,Unknown,Unknown,Unknown,Jersey,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 08:00-18:30; Sa 08:00-13:00,49.1866052,-2.1133902
Lloyds Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Jersey,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 08:30-18:00; Sa 09:00-17:30; Su 10:00-14:00,49.1863563,-2.1100294
Le Quesne's,Unknown,Don Street,Unknown,Unknown,Unknown,Jersey,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 08:30-17:45; Sa 09:00-17:00,49.1853118,-2.1055747
Boots,Unknown,Unknown,Unknown,Unknown,Unknown,Jersey,pharmacy,pharmacy,Unknown,https://www.boots.com/stores/996-jersey-st-helier-queen-street-je2-4wd,Mo-Sa 08:30-18:00,49.1840588,-2.1033491
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Jersey,pharmacy,pharmacy,Unknown,Unknown,Unknown,49.1891213,-2.1134491
Lloyds Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Jersey,pharmacy,pharmacy,Unknown,Unknown,Unknown,49.1883443,-2.1029673
De Faye's Chemist,Unknown,David Place,Unknown,Unknown,Unknown,Jersey,pharmacy,pharmacy,Unknown,Unknown,Unknown,49.1885687,-2.1027552
Reid's Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Jersey,pharmacy,Healthcare Services,Unknown,Unknown,Mo-Fr 08:30-18:00; Sa 08:30-17:00,49.1969367,-2.0822979
Boots,Unknown,Unknown,Unknown,Unknown,Unknown,Jersey,pharmacy,pharmacy,Unknown,Unknown,Mo-Sa 08:00-18:00; Su 10:00-14:00,49.1849481,-2.1081251
Reid's,Unknown,Val Plaisant,Unknown,Unknown,Unknown,Jersey,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 08:00-18:00; Sa 09:00-17:00; Su 09:00-13:00,49.1877008,-2.1057033
Lloyds Pharmacy,Unknown,Oxford Road,Saint Helier,Unknown,Unknown,Jersey,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 08:45-18:15; Sa 09:00-13:00,49.1881216,-2.1006926
Castle Quay Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Jersey,pharmacy,pharmacy,Unknown,Unknown,Unknown,49.1822228,-2.1149259
Island Medical Centre,Unknown,Unknown,Unknown,Unknown,Unknown,Jersey,doctors,doctor,Unknown,Unknown,Mo-Fr 08:00-18:00; Sa 09:00-12:00,49.186633,-2.1133036
Boots,Unknown,Unknown,Unknown,Unknown,Unknown,Jersey,pharmacy,pharmacy,Unknown,Unknown,Unknown,49.216102,-2.1842434
Dental Practice & Island Medical Centre,Unknown,Temple Court,St John,JE3 4BJ,Unknown,Jersey,doctors,Healthcare Services,Unknown,Unknown,Mo-Fr 08:00-18:00; Sa 09:00-12:00,49.2464084,-2.1387923
Village Pharmacy,Unknown,Temple Court,St John,JE3 4BJ,Unknown,Jersey,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,49.2462999,-2.1385511
Pharmacy Locale,Unknown,Unknown,Unknown,Unknown,Unknown,Jersey,pharmacy,pharmacy,Unknown,Unknown,Unknown,49.1887702,-2.0985714
Confidence Dental Care,Unknown,Rue de L'Etau,St. Helier,JE2 3EG,Unknown,Jersey,dentist,dentist,Unknown,Unknown,09:00-17:00,49.1831043,-2.1152925
Bracken Barrett,Unknown,Unknown,Unknown,Unknown,Unknown,Jersey,dentist,dentist,Unknown,Unknown,Unknown,49.1854671,-2.1102662
LV Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Jersey,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 08:45-17:15,49.1850779,-2.102642
All Pets Veterinary Centre,Unknown,Unknown,Unknown,Unknown,Unknown,Jersey,veterinary,Healthcare Services,Unknown,Unknown,"Mo-Fr 08:30-18:00;Sa 09:00-13:00;PH,Su off",49.2131349,-2.1809291
Castle Quay Medical Practice,Unknown,Unknown,Unknown,Unknown,Unknown,Jersey,doctors,doctor,Unknown,https://www.castlequaymp.co.uk/,Unknown,49.1821669,-2.1148931
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Jersey,pharmacy,pharmacy,Unknown,Unknown,Unknown,49.2020115,-2.1485381
Castle Quay Medical Practice (Harbour Reach),Unknown,Unknown,Unknown,Unknown,Unknown,Jersey,doctors,doctor,Unknown,https://www.castlequaymp.co.uk/,Mo-Fr 08:00-18:00; Sa 08:00-12:00,49.1818727,-2.1150859
Co-op Pharmacy Locale St Peter,Unknown,Rue de l'Église,St Peter,JE3 7AG,Unknown,Jersey,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 08:30-18:30; Sa 08:30-17:00; Su off,49.21229,-2.1822461
The Dental Studio,Unknown,Unknown,Unknown,Unknown,Unknown,Jersey,dentist,dentist,Unknown,Unknown,Unknown,49.1824388,-2.1154735
