Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Faiha Primary Healthcare Center,Unknown,Unknown,Unknown,Unknown,Unknown,Kuwait,hospital,Healthcare Services,Unknown,Unknown,Unknown,29.3373875,47.9792274
Shuwaikh Residential Primary Healthcare Center,Unknown,Unknown,Unknown,Unknown,Unknown,Kuwait,hospital,hospital,Unknown,Unknown,Unknown,29.354035,47.9506659
Dasman Diabetes Institute,Unknown,Unknown,Unknown,Unknown,Unknown,Kuwait,hospital,Healthcare Services,+965 2224 2999,https://www.dasmaninstitute.org/,Unknown,29.3897664,47.9934946
مستوصف الصوابر,Unknown,Unknown,Unknown,Unknown,Unknown,Kuwait,hospital,Healthcare Services,Unknown,Unknown,Unknown,29.3758423,47.9799265
مستوصف الشامية,Unknown,Unknown,Unknown,Unknown,Unknown,Kuwait,hospital,Healthcare Services,Unknown,Unknown,Unknown,29.3540605,47.9652607
Nuzha Primary Healthcare Center,Unknown,Unknown,Unknown,Unknown,Unknown,Kuwait,hospital,Healthcare Services,Unknown,Unknown,Unknown,29.3416987,47.9987683
مستوصف الفيحاء,Unknown,Unknown,Unknown,Unknown,Unknown,Kuwait,hospital,Healthcare Services,Unknown,Unknown,Unknown,29.3488039,48.002949
Dasman Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Kuwait,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,29.3764048,47.9881127
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Kuwait,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,29.3678651,47.9677636
Granada Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Kuwait,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,29.3681635,47.9680982
Ettihad Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Kuwait,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,29.3677743,47.9768903
Royal Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Kuwait,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,29.3680653,47.977411
Qattan Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Kuwait,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,29.3682566,47.9776982
City Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Kuwait,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,29.3683685,47.977885
City Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Kuwait,clinic,Healthcare Services,Unknown,Unknown,Unknown,29.3685435,47.9781932
Al-Hajery,Unknown,Unknown,Unknown,Unknown,Unknown,Kuwait,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,29.3867738,47.9887838
Dental One,Unknown,Unknown,Unknown,Unknown,Unknown,Kuwait,dentist,dentist,Unknown,Unknown,Unknown,29.3886349,47.9936618
Dr Nael AlHazeem Center,Unknown,برج التجارية,مدينة الكويت,Unknown,Unknown,Kuwait,clinic,clinic,1800128,https://www.naelalhazeem.com/,Sa-Th 09:00-21:00,29.3702968,47.9920617
صيدلية الهاجري,Unknown,Unknown,بنيد القار - قطعة 1,Unknown,Asimah,Kuwait,pharmacy,Healthcare Services,Unknown,https://www.alhajerypharmacy.com,Unknown,29.3691701,48.0088277
صيدلية الهاجري,Unknown,شارع بور سعيد,بنيد القار,Unknown,Asimah,Kuwait,pharmacy,Healthcare Services,Unknown,https://www.alhajerypharmacy.com,Unknown,29.3696128,48.0084993
صيدلية الهاجري,Unknown,Unknown,كيفان - قطعة 5,Unknown,Asimah,Kuwait,pharmacy,pharmacy,Unknown,https://www.alhajerypharmacy.com,Unknown,29.3416556,47.9516269
AlHajery Pharmacy,Unknown,Unknown,Unknown,Unknown,Asimah,Kuwait,pharmacy,Healthcare Services,Unknown,https://www.alhajerypharmacy.com,Unknown,29.3579892,48.0130739
AlHajery Pharmacy,Unknown,Unknown,Unknown,Unknown,Asimah,Kuwait,pharmacy,Healthcare Services,Unknown,https://www.alhajerypharmacy.com,Unknown,29.3743709,47.9875638
AlHajery Pharmacy,Unknown,Unknown,Unknown,Unknown,Asimah,Kuwait,pharmacy,Healthcare Services,Unknown,https://www.alhajerypharmacy.com,Unknown,29.3790539,47.9932879
AlHajery Pharmacy,Unknown,Unknown,Unknown,Unknown,Asimah,Kuwait,pharmacy,Healthcare Services,Unknown,https://www.alhajerypharmacy.com,Unknown,29.3868493,47.9888778
صيديلية الشامية,Unknown,Unknown,Unknown,Unknown,Unknown,Kuwait,pharmacy,pharmacy,Unknown,Unknown,Unknown,29.3562889,47.9676083
