Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Macao,pharmacy,pharmacy,Unknown,Unknown,Unknown,22.1936078,113.5353644
老人保健站 Centro de Saúde para Idosos,Unknown,Unknown,Unknown,Unknown,Unknown,Macao,clinic,Healthcare Services,+853 2882 7667,Unknown,"Mo-Th 08:30-13:00,14:30-17:15; Fr 08:30-13:00,14:30-17:00",22.1542571,113.5560935
仁輝藥房 Farmácia Yan Fai,Unknown,Unknown,Unknown,Unknown,Unknown,Macao,pharmacy,Healthcare Services,+853 2884 2550,Unknown,Unknown,22.1580893,113.5528614
億生大藥房 Farmácia Iek Sang,Unknown,Unknown,Unknown,Unknown,Unknown,Macao,pharmacy,pharmacy,+853 2883 7183,Unknown,Unknown,22.1609107,113.5565883
萬輝大藥房 Farmácia Man Fai,Unknown,Unknown,Unknown,Unknown,Unknown,Macao,pharmacy,pharmacy,+853 2884 0806,Unknown,Unknown,22.1571184,113.5569929
湖畔嘉模衛生中心 Centro de Saúde de Nossa Senhora do Carmo - Lago,Unknown,Unknown,Unknown,Unknown,Unknown,Macao,clinic,clinic,+853 2850 0400,Unknown,"Mo-Fr 08:30-18:00; Sa,Su 09:00-13:00",22.1584729,113.5613176
創見大藥房 Farmácia Chong Kin,Unknown,Unknown,Unknown,Unknown,Unknown,Macao,pharmacy,pharmacy,+853 2896 6338,Unknown,Unknown,22.1871286,113.531197
一心牙科醫療中心 Centro dos Dentistas UH,Unknown,水坑尾街 Rua do Campo,澳門,Unknown,Unknown,Macao,clinic,clinic,Unknown,Unknown,Unknown,22.1944596,113.5440795
Casa,Unknown,Unknown,Unknown,Unknown,Unknown,Macao,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,22.2093683,113.5491113
Alpha,Unknown,伯多祿局長街(白馬行) Rua de Pedro Nolasco da Silva,Unknown,Unknown,Unknown,Macao,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,22.1948094,113.5437616
Plus,Unknown,鏡湖馬路 Estrada do Repouso,Unknown,Unknown,Unknown,Macao,veterinary,Healthcare Services,Unknown,Unknown,Unknown,22.197387,113.5436464
Centro Médico Dek Ou,Unknown,士多鳥拜斯大馬路 Avenida de Sidónio Pais,Unknown,Unknown,Unknown,Macao,clinic,clinic,Unknown,Unknown,Mo-Su 09:00-21:00,22.2001818,113.5497212
Unknown,Unknown,高士德大馬路 Avenida de Horta e Costa,Unknown,Unknown,Unknown,Macao,pharmacy,pharmacy,Unknown,Unknown,Unknown,22.2025687,113.5475457
