Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Pharmacie Rocade Sud,Unknown,Unknown,Unknown,Unknown,Unknown,Martinique,pharmacy,pharmacy,Unknown,https://www.pharmacierocadesud.com,Mo-Sa 07:30-20:00,14.5721351,-60.9812812
Pharmacie Priam-Theobald,Unknown,Unknown,Unknown,Unknown,Unknown,Martinique,pharmacy,pharmacy,Unknown,Unknown,Unknown,14.6161243,-61.0023779
Pharmacie Antonio,Unknown,Unknown,Unknown,Unknown,Unknown,Martinique,pharmacy,pharmacy,Unknown,https://pharmacie-antonio.com,Mo-Fr 07:30-18:00; Sa 07:30-13:00,14.6162729,-61.0023031
Pharmacie Mathieu,Unknown,Unknown,Unknown,Unknown,Unknown,Martinique,pharmacy,pharmacy,Unknown,Unknown,Unknown,14.5763181,-60.9729456
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Martinique,doctors,doctor,Unknown,Unknown,Unknown,14.5762916,-60.9757811
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Martinique,doctors,doctor,Unknown,Unknown,Unknown,14.5759764,-60.9759931
Éclat de Santé,Unknown,Unknown,Unknown,Unknown,Unknown,Martinique,pharmacy,pharmacy,Unknown,Unknown,Unknown,14.575659,-60.9759276
Centre Médical Lumina,Unknown,Unknown,Unknown,Unknown,Unknown,Martinique,doctors,doctor,Unknown,Unknown,Unknown,14.5755247,-60.9747554
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Martinique,dentist,dentist,Unknown,Unknown,Unknown,14.57638,-60.9737682
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Martinique,dentist,dentist,Unknown,Unknown,Unknown,14.609769,-60.9987531
Pharmacie Monan Zamy,Unknown,Unknown,Unknown,Unknown,Unknown,Martinique,pharmacy,pharmacy,Unknown,https://pharmacie-lamentin.org,Mo-Fr 07:30-19:30; Sa 07:30-13:00,14.6097836,-60.9986442
Pharmacie Marinelle,Unknown,Unknown,Unknown,Unknown,Unknown,Martinique,pharmacy,pharmacy,Unknown,Unknown,Unknown,14.5776876,-60.9724203
Pharmacie de l'Aéroport,Unknown,Unknown,Unknown,Unknown,Unknown,Martinique,pharmacy,pharmacy,Unknown,https://www.pharmaciedelaeroport-lelamentin.fr,Mo-Su 07:00-24:00,14.5955873,-61.0006639
Pharmacie de Place d'Armes,Unknown,Unknown,Unknown,Unknown,Unknown,Martinique,pharmacy,pharmacy,Unknown,https://pharmacie-de-place-darmes.business.site,Unknown,14.6142895,-60.9930092
Pharmacie Olivia,Unknown,Unknown,Unknown,Unknown,Unknown,Martinique,pharmacy,pharmacy,Unknown,Unknown,Unknown,14.6116629,-61.0028127
Centre de Santé Ducos,Unknown,Route du Morne Vert,Ducos,Unknown,Unknown,Martinique,clinic,clinic,Unknown,Unknown,Unknown,14.5748954,-60.964531
