Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Pharmacie du Souimanga,Unknown,Unknown,Unknown,Unknown,Unknown,Mayotte,pharmacy,Healthcare Services,+262 2 69 61 60 14,https://pharmaciedusouimanga.pharminfo.fr/,"Mo-Fr 07:30-12:30,14:30-18:30; Sa 07:30-12:30",-12.8411038,45.1209843
Maison médicale de Combani,Unknown,Unknown,Tsingoni,97680,Unknown,Mayotte,doctors,doctor,+262 269 61 77 38,Unknown,"Mo-Fr 09:00-12:00,14:00-17:00; Sa 08:00-12:00",-12.790387,45.1341694
Maison de santé Suha N'Djema,Unknown,Unknown,Unknown,Unknown,Unknown,Mayotte,doctors,midwife,+262 2 69 62 28 99,https://www.reseaux-sante-mayotte.fr/entreprise/degoy-xavier,"Mo-Tu, Th-Fr 07:00-14:00; Sa 07:00-12:00",-12.8409409,45.1220482
Pharmacie des Dauphins,Unknown,Unknown,Unknown,Unknown,Unknown,Mayotte,pharmacy,pharmacy,+262 2 69 64 64 60,https://www.pharmacie-des-dauphins-tsararano.com/,"Mo-Fr 08:30-12:30,14:00-19:00; Sa 08:30-12:30",-12.8368175,45.1764641
Centre Médical de Dembéni,Unknown,Unknown,Unknown,Unknown,Unknown,Mayotte,doctors,doctor,+262 2 69 62 25 25,Unknown,Unknown,-12.8370137,45.1760509
Espace santé,Unknown,Unknown,Unknown,Unknown,Unknown,Mayotte,doctors,doctor,Unknown,Unknown,Unknown,-12.8458899,45.1158258
Les Kinés du Sud,Unknown,Route Nationale 2,Unknown,Unknown,Unknown,Mayotte,doctors,physiotherapist,+262 269 62 48 49,Unknown,Unknown,-12.8409503,45.1219054
Cabinet de dentiste,Unknown,Rue Aliman,Unknown,Unknown,Unknown,Mayotte,dentist,dentist,+262269666427,Unknown,Mo-Th 07:00-16:00; Fr 07:00-14:00,-12.832693,45.1241079
Pharmacie de Combani,Unknown,Unknown,Unknown,Unknown,Unknown,Mayotte,pharmacy,pharmacy,+262 269 61 78 06,https://pharmaciedecombani.fr/,"Mo-Fr 08:30-13:00,14:30-19:00; Sa 08:30-13:00",-12.7897791,45.132886
Pharmacie d'Iloni,Unknown,Unknown,Unknown,Unknown,Unknown,Mayotte,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,-12.8444915,45.1895325
Cabinet Vétérinaire du Centre,Unknown,Unknown,Unknown,Unknown,Unknown,Mayotte,veterinary,Healthcare Services,+262 269 60 75 01,Unknown,"Mo-Fr 08:00-12:00,14:00-17:00; Sa 08:00-12:00",-12.7903268,45.136593
Hima Kiné,Unknown,Unknown,Unknown,Unknown,Unknown,Mayotte,doctors,physiotherapist,+262 639 63 30 36,Unknown,Unknown,-12.7904515,45.1341512
Cabinet Dentaire Combani,Unknown,Unknown,Unknown,Unknown,Unknown,Mayotte,dentist,dentist,+262 639 99 22 20,Unknown,Unknown,-12.7904913,45.134229
Cabinet infirmier Maésha,Unknown,Unknown,Unknown,Unknown,Unknown,Mayotte,doctors,doctor,0639 66 62 38,Unknown,"Mo-Fr 09:00-12:00,14:00-17:00; Sa 08:00-12:00",-12.7916669,45.1323469
PMI Combani,Unknown,Unknown,Unknown,Unknown,Unknown,Mayotte,clinic,Healthcare Services,+262 269 64 34 64,Unknown,Unknown,-12.7914145,45.1331864
Maison de santé mentale,Unknown,Unknown,Unknown,Unknown,Unknown,Mayotte,clinic,Healthcare Services,+262 269 61 64 00,https://www.mlezi-maore.com/actualites/la-premiere-maison-de-sante-mentale-oupara-makini-ouvre-ses-portes-a-mayotte/,Unknown,-12.7950812,45.1311266
Cabinet de sage femme,Unknown,Unknown,Unknown,Unknown,Unknown,Mayotte,doctors,midwife,+262 269 62 94 09,Unknown,Unknown,-12.841024,45.1221073
Pharmacie des Cocotiers,Unknown,Unknown,Unknown,Unknown,Unknown,Mayotte,pharmacy,Healthcare Services,+262 269 63 27 90,Unknown,"Mo-Fr 07:30-12:30,14:00-18:00; Sa 07:30-12:30",-12.8413651,45.1307026
Cabinet médical decasé,Unknown,Unknown,Unknown,Unknown,Unknown,Mayotte,doctors,doctor,0269644342,Unknown,Unknown,-12.7914603,45.1325087
Maison médicale Moinecha Ali Combo,Unknown,Unknown,Unknown,Unknown,Unknown,Mayotte,doctors,Healthcare Services,Unknown,Unknown,Unknown,-12.8414704,45.1306337
Cabinet de Kinésithérapie,Unknown,Unknown,Unknown,Unknown,Unknown,Mayotte,doctors,Healthcare Services,Unknown,Unknown,Unknown,-12.7846752,45.1417574
"Cabinet de sage-femme, consultations et échographies, Dembeni",Unknown,Unknown,Unknown,Unknown,Unknown,Mayotte,doctors,doctor,Unknown,Unknown,Unknown,-12.8446275,45.1859331
