Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Sanatorio Durango,Unknown,Unknown,Unknown,Unknown,Unknown,Mexico,clinic,clinic,Unknown,Unknown,Unknown,19.4191311,-99.1729587
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mexico,pharmacy,pharmacy,Unknown,Unknown,Unknown,19.41246,-99.1598942
Hospital Dermatológico Ladislao Pascua,Unknown,Unknown,Unknown,Unknown,Unknown,Mexico,hospital,hospital,Unknown,Unknown,Unknown,19.4064813,-99.1495056
Farmacia Juarez,Unknown,Unknown,Unknown,Unknown,Unknown,Mexico,pharmacy,pharmacy,Unknown,Unknown,Unknown,19.4271676,-99.160043
Médica Londres,Unknown,Unknown,Unknown,Unknown,Unknown,Mexico,hospital,hospital,Unknown,Unknown,Unknown,19.4275314,-99.159244
Centro de Salud Dr. D. Orvañanos,Unknown,Comonfort,Unknown,Unknown,Unknown,Mexico,hospital,hospital,Unknown,Unknown,Unknown,19.4442171,-99.1354083
Centro de Salud José Zozaya,Unknown,Unknown,Unknown,Unknown,Unknown,Mexico,hospital,hospital,Unknown,Unknown,Unknown,19.3985249,-99.1187686
Farmacia Walmart,Unknown,Unknown,Unknown,Unknown,Unknown,Mexico,pharmacy,pharmacy,Unknown,Unknown,Unknown,19.4726684,-99.1213043
Farmacia Soriana,Unknown,Unknown,Unknown,Unknown,Unknown,Mexico,pharmacy,pharmacy,Unknown,Unknown,Unknown,19.4652665,-99.1253142
Farmacia de Similares,Unknown,Unknown,Unknown,Unknown,Unknown,Mexico,pharmacy,pharmacy,Unknown,Unknown,24/7,19.4713408,-99.1226508
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mexico,pharmacy,pharmacy,Unknown,Unknown,Unknown,19.4700341,-99.1314714
"Farmacias ""San Pablo""",Unknown,Calzada de Guadalupe,Unknown,07800,Unknown,Mexico,pharmacy,pharmacy,Unknown,Unknown,Unknown,19.4745693,-99.1214269
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Mexico,pharmacy,pharmacy,Unknown,Unknown,Unknown,19.4765078,-99.1252138
Hospital Materno Infantil Inguarán,Unknown,Estaño Col.Felipe Angeles,Distrito Federal,15300,Unknown,Mexico,hospital,hospital,"5795 4261, 5795 6764",Unknown,Unknown,19.4520667,-99.1130365
La Salud,Unknown,Unknown,Unknown,Unknown,Unknown,Mexico,pharmacy,pharmacy,Unknown,Unknown,Unknown,19.413646,-99.1757753
Multi farmacias,Unknown,Unknown,Unknown,Unknown,Unknown,Mexico,pharmacy,pharmacy,Unknown,Unknown,Unknown,19.4107083,-99.1671733
