Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Orient,Unknown,Strada Vasile Alecsandri,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Mo-Su 08:00-20:30,47.018782,28.8353987
Iuta,Unknown,Bulevardul Dacia,Chișinău,MD-2043,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,46.9873165,28.8547879
Unknown,Unknown,Unknown,Chișinău,Unknown,Unknown,"Moldova, Republic of",veterinary,Healthcare Services,Unknown,Unknown,Unknown,46.9846291,28.8561827
Felicia,Unknown,Șoseaua Hâncești,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,24/7,47.0020588,28.8158199
Farmacia mea,Unknown,Unknown,Unknown,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,46.9990757,28.8086476
Panax-Ginseng,Unknown,Șoseaua Hâncești,Chișinău,MD-2021,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,46.999042,28.8041772
Elody,Unknown,Strada Lech Kaczynski,Chișinău,MD-2028,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 08:00-20:30; Sa-Su 09:00-20:30,47.000576,28.8118433
Orient,Unknown,Bulevardul Traian,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,46.9851798,28.8568278
Orient,Unknown,Bulevardul Traian,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,46.981716,28.8518319
Farmacia Felicia,Unknown,Strada Alexandr Pușkin,Chișinău,MD-2012,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,47.0268946,28.8380609
Felicia,Unknown,Strada Kiev,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,47.0437626,28.8608191
Hippocrates,Unknown,Strada Tiraspol,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,https://hippocrates.md/,Mo-Su 09:00-22:00,47.0134405,28.8560996
Elody,Unknown,Strada Petru Zadnipru,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,47.0438018,28.8831676
Unknown,Unknown,Unknown,Chișinău,Unknown,Unknown,"Moldova, Republic of",dentist,dentist,Unknown,Unknown,Unknown,47.0435873,28.8835552
Hippocrates,Unknown,Strada Vasile Lupu,Chișinău,MD-2008,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,47.0217921,28.8053602
Elody,Unknown,Bulevardul Moscova,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,+373 22 446264,https://elody.md,Mo-Su 08:00-22:00,47.0466259,28.8618769
Apoteka,Unknown,Strada Miron Costin,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,47.0495382,28.8617287
Hippocrates,Unknown,Bulevardul Moscova,Chișinău,MD-2068,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,47.0492933,28.8639615
Farmacia Familiei,Unknown,Bulevardul Moscova,Chișinău,MD-2068,Unknown,"Moldova, Republic of",pharmacy,pharmacy,+373 22 329 665,https://ff.md/,Mo-Su 08:00-22:00,47.0539001,28.8656065
Elody,Unknown,Bulevardul Moscova,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,+373 22 027 563,https://elody.md,08:00-22:00,47.0558969,28.8647093
Orient,Unknown,Strada Matei Basarab,Chișinău,MD-2045,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,https://orient.md,Unknown,47.0548134,28.8692619
Peon,Unknown,Strada Studenților,Chișinău,MD-2045,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,47.060778,28.8651335
Unknown,Unknown,Unknown,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,47.0561009,28.8660971
Felicia,Unknown,Bulevardul Moscova,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,+373 22 322 799,https://felicia.md/,08:00-22:00,47.0547981,28.8650464
Dispensarul Municipal Dermato-Venerologic,Unknown,Strada Columna,Chișinău,MD-2001,Unknown,"Moldova, Republic of",hospital,hospital,Unknown,Unknown,Unknown,47.0182462,28.848198
Comisia medicală a conducătorilor mijloacelor de transport,Unknown,Strada Ismail,Chișinău,MD-2001,Unknown,"Moldova, Republic of",hospital,hospital,Unknown,https://www.comisieauto.md/,Unknown,47.0180662,28.8484489
Felicia,Unknown,Strada Ion Creangă,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,+373 22 716 068,https://felicia.md/,24/7,47.0270085,28.7937834
Farmacia Familiei,Unknown,Bulevardul Moscova,Chișinău,MD-2068,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,47.0454498,28.8614111
Orient,Unknown,Unknown,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Mo-Su 08:00-20:30,46.99059,28.8274509
Lazarus,Unknown,Unknown,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,47.0556188,28.8661491
Felicia,Unknown,Strada Alexei Șciusev,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,https://felicia.md/,Mo-Su 08:00-20:00,47.0188,28.8292476
Farmacia Felicia,Unknown,Bulevardul Ștefan cel Mare și Sfânt,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,47.021181,28.8379598
Valincea,Unknown,Strada Bulgară,Chișinău,Unknown,Unknown,"Moldova, Republic of",clinic,clinic,Unknown,Unknown,Unknown,47.0175026,28.8398045
Felicia,Unknown,Unknown,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,46.992089,28.8664684
Hippocrates,Unknown,Strada Socoleni,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,47.0624083,28.8493122
Farmacia Familiei,Unknown,Strada Miorița,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,46.9926626,28.819657
Felicia,Unknown,Strada Gheorghe Asachi,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Mo-Su 08:00-22:00,46.9932899,28.8201813
Elody,Unknown,Unknown,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,47.0171904,28.8472628
Hippocrates,Unknown,Strada Ismail,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,https://www.hippocrates.md/,Mo-Su 08:00-21:00,47.0168026,28.8480208
Elody,Unknown,Strada Ismail,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,47.0182278,28.8500647
Orient,Unknown,Unknown,Chișinău,MD-2028,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Mo-Su 08:00-21:30,47.0022086,28.8192272
Clinica Veterinară „Nicoleta-Lux”,Unknown,Strada Mihai Eminescu,Chișinău,Unknown,Unknown,"Moldova, Republic of",veterinary,Healthcare Services,Unknown,Unknown,Unknown,47.0173904,28.8301978
Centrul Medical „Fluid“,Unknown,Strada București,Chișinău,MD-2012,Unknown,"Moldova, Republic of",hospital,hospital,+373 22 226 186,https://fluid.md/,Mo-Fr 09:00-18:00; Sa 09:00-14:00,47.0207911,28.8307281
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Moldova, Republic of",pharmacy,Healthcare Services,Unknown,Unknown,Unknown,47.0531378,28.8469822
Farmacia Familiei,Unknown,Strada Gheorghe Asachi,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 08:00-22:00; Sa-Su 09:00-21:00,47.0016106,28.8219732
Orient,Unknown,Strada Melestiu,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Mo-Su 08:00-20:30,47.0049219,28.8421327
Felicia,Unknown,Unknown,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,47.0623035,28.8461339
Fala-Dental Srl,Unknown,Unknown,Chișinău,Unknown,Unknown,"Moldova, Republic of",dentist,dentist,+37322270536,Unknown,Unknown,47.0144499,28.838498
Felicia,Unknown,Unknown,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,https://felicia.md/,Unknown,47.0109202,28.8422136
Orient,Unknown,Strada Aleksandr Pușkin,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,47.027666,28.8399988
Orient,Unknown,Unknown,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,46.9944185,28.8682769
Felicia,Unknown,Bulevardul Dacia,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Mo-Su 09:00-21:00,46.9872553,28.8564188
Farmacia Familiei,Unknown,Strada Alba Iulia,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,+373 22 592 315,https://ff.md/,Mo-Su 08:00-23:00,47.035923,28.7758596
Apoteka,Unknown,Strada Ion Creangă,Chișinău,MD-2064,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,47.032501,28.8051214
Orient,Unknown,Strada Ion Creangă,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,47.0320815,28.8050042
Felicia,Unknown,Strada Calea Orheiului,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,47.0552735,28.848991
Centrul de Diagnostic German,Unknown,Bulevardul Constantin Negruzzi,Chișinău,Unknown,Unknown,"Moldova, Republic of",hospital,hospital,Unknown,Unknown,Mo-Fr 08:00-22:00; Sa 08:00-16:00,47.0139232,28.8518596
Orient,Unknown,Strada Mitropolit Gavriil Bănulescu-Bodoni,Chișinău,MD-2012,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,https://www.orient.md,Mo-Su 08:00-20:30,47.0273046,28.8332205
Felicia,Unknown,Bulevardul Grigore Vieru,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,+373 22 202 600,https://felicia.md/,Mo-Su 08:00-20:00,47.0295876,28.8391042
Hippocrates,Unknown,Strada Alba-Iulia,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,47.0380573,28.7700688
Farmacia Balkan,Unknown,Strada Nicolae Testemițanu,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,46.9936198,28.8308585
Farmacia Familiei,Unknown,Bulevardul Dacia,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,https://farmaciafamiliei.md/ro/,Unknown,46.9915863,28.8517867
Hippocrates,Unknown,Strada Nikolai Zelinski,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,022 52-21-13,Unknown,Mo-Fr 08:00-21:00; Sa-Su 09:00-18:00,46.993781,28.8502224
Felicia,Unknown,Bulevardul Dacia,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,https://felicia.md/,Unknown,46.9900549,28.8505204
Orient,Unknown,Bulevardul Ștefan cel Mare și Sfânt,Chișinău,MD-2001,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Mo-Su 08:00-20:30,47.0168177,28.843264
Apoteka,Unknown,Strada Armenească,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,+373 22 277 387,Unknown,Unknown,47.019063,28.8380843
Mama,Unknown,Unknown,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Mo-Su 07:00-21:00,47.0122679,28.857581
Orient,Unknown,Unknown,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,47.0084105,28.828254
Felicia,Unknown,Bulevardul Grigore Vieru,Chișinău,MD-2005,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,47.0313207,28.8416307
Farmacia Familiei,Unknown,Bulevardul Ștefan cel Mare și Sfânt,Chișinău,MD-2012,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,https://farmaciafamiliei.md,Mo-Su 08:00-22:00,47.0261678,28.8305502
Felicia,Unknown,Strada Nicolae Testemițanu,Chișinău,MD-2025,Unknown,"Moldova, Republic of",pharmacy,pharmacy,+37322739783,https://felicia.md/,Unknown,46.9950708,28.8322721
Hippocrates,Unknown,Strada Vasili Dokuceaev,Chișinau,MD-2028,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,https://www.hippocrates.md/,Mo-Su 08:00-22:00,47.0027144,28.8177006
Felicia,Unknown,Unknown,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,46.9933273,28.8645522
Elody,Unknown,Strada Ion Creangă,Chișinău,MD-2064,Unknown,"Moldova, Republic of",pharmacy,pharmacy,+373 22 358 453,https://farmacie.md,Mo-Fr 08:00-20:00; Sa-Su 08:00-17:00,47.0370655,28.8121108
Elody,Unknown,Strada Romană,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,https://www.elody.md,Unknown,47.0315186,28.8444365
Apoteka,Unknown,Unknown,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,Healthcare Services,Unknown,Unknown,Mo-Su 08:00-21:00,47.0111559,28.8588276
Orient,Unknown,Bulevardul Iuri Gagarin,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,https://www.orient.md,Mo-Su 08:00-20:30,47.0130586,28.8562475
Centrul Sănătății Familiei „Galaxia”,Unknown,Strada Alexandru cel Bun,Chișinău,Unknown,Unknown,"Moldova, Republic of",clinic,clinic,+373 22 858 500,https://galaxia.md/,Mo-Fr 08:00-19:00; Sa 08:00-13:00,47.0246151,28.8416094
Hippocrates,Unknown,Strada Nicolai Zelinski,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,46.9924887,28.8652221
Orient,Unknown,Strada Ion Creangă,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,https://www.orient.md,Unknown,47.0288042,28.7982095
Mama,Unknown,Strada Alexandr Pușkin,Chișinău,MD-2012,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,47.0228078,28.8329083
Hippocrates,Unknown,Strada Calea Orheiului,Chișinău,MD-2059,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,https://www.hippocrates.md/,08:00-20:00,47.0537983,28.8499934
Unknown,Unknown,Unknown,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,47.0191908,28.852498
Felicia,Unknown,Strada Iazului,Chișinău,MD-2020,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,https://felicia.md/,Unknown,47.0574117,28.8472151
Felicia,Unknown,Bulevardul Moscova,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,47.0492896,28.8628024
Elody,Unknown,Strada Constantin Brâncuși,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,46.9892361,28.8591239
Farmacia Familiei,Unknown,Bulevardul Dacia,Chișinău,MD-2038,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,46.991604,28.8527155
Unknown,Unknown,Bulevardul Dacia,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,46.9912487,28.851088
Orient,Unknown,Unknown,Chișinău,Unknown,Unknown,"Moldova, Republic of",pharmacy,pharmacy,Unknown,Unknown,Unknown,47.0442037,28.8597121
