Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Monaco,pharmacy,pharmacy,Unknown,Unknown,Unknown,43.7355109,7.421026
Centre d'Imagerie Médicale de Monaco,Unknown,Rue du Gabian,Unknown,Unknown,Unknown,Monaco,doctors,centre,+377 92 05 76 00,https://www.cimm-monaco.com/,Mo-Fr 07:00-19:00; Sa 08:00-12:00,43.7301019,7.4156917
Ferry,Unknown,Rue Grimaldi,Monaco,98000,Unknown,Monaco,pharmacy,pharmacy,Unknown,Unknown,Unknown,43.7327462,7.4187888
Pharmacie Internationale,Unknown,Unknown,Unknown,Unknown,Unknown,Monaco,pharmacy,pharmacy,Unknown,Unknown,Unknown,43.7341088,7.4186364
Unknown,Unknown,Avenue Albert II,Unknown,Unknown,Unknown,Monaco,pharmacy,pharmacy,Unknown,Unknown,Unknown,43.7301499,7.4168751
G. Marsan,Unknown,Unknown,Unknown,Unknown,Unknown,Monaco,pharmacy,pharmacy,Unknown,Unknown,Mo-Fr 07:30-20:00; Sa 08:30-20:00; Su 09:00-15:00,43.7327453,7.4189942
Pharmacie du Jardin Exotique,Unknown,Unknown,Unknown,Unknown,Unknown,Monaco,pharmacy,pharmacy,Unknown,Unknown,"Mo-Fr 08:30-12:30,15:00-19:00; Sa 08:30-12:30",43.7348315,7.4137925
Farmacy des Anglais,Unknown,Unknown,Unknown,Unknown,Unknown,Monaco,pharmacy,pharmacy,Unknown,Unknown,Unknown,43.7455798,7.4297124
Bughin,Unknown,Unknown,Unknown,Unknown,Unknown,Monaco,pharmacy,pharmacy,Unknown,Unknown,Unknown,43.7398297,7.4240744
Pharmacie Azurea,Unknown,Unknown,Unknown,Unknown,Unknown,Monaco,pharmacy,pharmacy,Unknown,Unknown,Unknown,43.741645,7.4250085
Pharmacie Franco-Monégasque,Unknown,Unknown,Unknown,Unknown,Unknown,Monaco,pharmacy,pharmacy,Unknown,Unknown,Unknown,43.7422749,7.425963
Pharmacie Saint-Roman,Unknown,Unknown,Unknown,Unknown,Unknown,Monaco,pharmacy,pharmacy,Unknown,Unknown,Unknown,43.7519871,7.4386332
Pharmacie de la Crémaillère,Unknown,Unknown,Unknown,Unknown,Unknown,Monaco,pharmacy,pharmacy,Unknown,Unknown,Unknown,43.7422016,7.4242094
Pharmacie du Soleil Kaytandjian,Unknown,Unknown,Unknown,Unknown,Unknown,Monaco,pharmacy,pharmacy,Unknown,Unknown,Unknown,43.7426698,7.4253658
Pharmacie des Moneghetti,Unknown,Unknown,Unknown,Unknown,Unknown,Monaco,pharmacy,pharmacy,Unknown,Unknown,Unknown,43.7388732,7.4164909
Pharmacie Troisgros,Unknown,Unknown,Unknown,Unknown,Unknown,Monaco,pharmacy,pharmacy,Unknown,https://www.totum.fr/pharmacie/cap-d-ail-pharmacie-troisgros,"Mo-Fr 08:30-12:30,14:00-19:30; Sa 08:30-12:30",43.7270861,7.4109356
Pharmacie de la Turbie,Unknown,Unknown,Unknown,Unknown,Unknown,Monaco,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,43.745713,7.4003703
La Bastide,Unknown,Avenue du 3 Septembre,Cap-d'Ail,06320,Unknown,Monaco,pharmacy,pharmacy,Unknown,http://www.pharmacie-labastide.com/,"Mo-Sa 08:30-12:30,14:00-19:30",43.7231901,7.3969876
Pharmacie Garnaud,Unknown,Avenue Paul Doumer,Unknown,Unknown,Unknown,Monaco,pharmacy,pharmacy,Unknown,Unknown,Unknown,43.758353,7.4715131
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Monaco,pharmacy,pharmacy,Unknown,Unknown,Unknown,43.7371994,7.4168604
Pharmacie du Rocher,Unknown,Rue Comte Félix Gastaldi,Unknown,Unknown,Unknown,Monaco,pharmacy,pharmacy,Unknown,Unknown,Unknown,43.7309421,7.4227385
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Monaco,doctors,doctor,Unknown,Unknown,Unknown,43.7425303,7.4256152
Durocher,Unknown,Unknown,Unknown,Unknown,Unknown,Monaco,pharmacy,pharmacy,Unknown,Unknown,Unknown,43.7311039,7.4222121
Pharmacie Plati,Unknown,Unknown,Unknown,Unknown,Unknown,Monaco,pharmacy,pharmacy,Unknown,Unknown,Unknown,43.7327117,7.416616
