Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Benu,Unknown,Engweg,Putten,3882AL,Unknown,Netherlands,pharmacy,pharmacy,Unknown,https://www.benuapotheek.nl/apotheek/de-eng,Unknown,52.2582964,5.6019492
Wentsel de groot,Unknown,Unknown,Unknown,Unknown,Unknown,Netherlands,dentist,dentist,Unknown,Unknown,Unknown,52.257176,5.605124
Huisartsenpraktijk De Lindeboom,Unknown,Unknown,Unknown,Unknown,Unknown,Netherlands,doctors,doctor,Unknown,Unknown,Unknown,52.258765,5.6092285
Dierenkliniek Putten,Unknown,Unknown,Unknown,Unknown,Unknown,Netherlands,veterinary,Healthcare Services,Unknown,Unknown,Unknown,52.2502296,5.5907956
Praktijk voor Tandheelkunde Putten,Unknown,Kelnarijstraat,Putten,3881CB,Unknown,Netherlands,dentist,dentist,Unknown,https://www.tandartsputten.nl/,Unknown,52.2619498,5.6081735
Dental Studio Putten,Unknown,Kelnarijstraat,Putten,3881CB,Unknown,Netherlands,dentist,dentist,Unknown,https://dentalstudioputten.nl/,Unknown,52.2619808,5.6083724
Orthodontiepraktijk Putten,Unknown,Dorpsstraat,Putten,3881BC,Unknown,Netherlands,dentist,dentist,Unknown,https://www.orthodontiepraktijkputten.nl,Unknown,52.2598957,5.5999157
Dierenkliniek Achterstraat,Unknown,Achterstraat,Putten,3882AG,Unknown,Netherlands,veterinary,Healthcare Services,Unknown,https://www.dierenkliniekachterstraat.nl/,Unknown,52.2598874,5.6055112
Tandartsenpraktijk Breuklander,Unknown,Nijkerkerstraat,Putten,3882PG,Unknown,Netherlands,dentist,dentist,Unknown,Unknown,08:00-17:00,52.2595799,5.5950026
Benu,Unknown,Klaas Frisohof,Putten,3881SZ,Unknown,Netherlands,pharmacy,pharmacy,Unknown,https://www.benuapotheek.nl/apotheek/da-costa,Unknown,52.2572488,5.60815
