Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Palau,veterinary,Healthcare Services,Unknown,Unknown,Unknown,42.5562837,3.0122193
Pharmacie Lliboutry - Cayron,Unknown,Unknown,Unknown,Unknown,Unknown,Palau,pharmacy,Healthcare Services,+33 4 68 89 20 20,https://pharmacielliboutry-cayron.fr/,"Mo-Fr 08:30-12:30,14:30-19:30; Sa 08:30-12:30,14:30-18:30",42.5327273,2.9548669
Pharmacie Épicentre,Unknown,Boulevard des Évadés,Elne,66200,Unknown,Palau,pharmacy,pharmacy,+33 4 68 22 10 64,https://pharmacieepicentre-elne.pharmavie.fr/,"Mo-Fr 08:30-12:30,14:30-19:30",42.5973371,2.9753751
Centre médico-psychologique d'Elne,Unknown,Rue du Mas Latrobe,Elne,66200,Unknown,Palau,hospital,hospital,+33 4 68 22 22 96,https://www.ch-thuir.fr/,Unknown,42.6007244,2.9659103
Pharmacie Croix Verte,Unknown,Avenue Narcisse Planas,Elne,66200,Unknown,Palau,pharmacy,pharmacy,+33 4 68 22 06 25,https://www.pharmacie-la-croix-verte.fr/,Unknown,42.603882,2.9721095
Pharmacie Haas Lamargot,Unknown,Unknown,Unknown,Unknown,Unknown,Palau,pharmacy,pharmacy,+33468897033,Unknown,Unknown,42.5436625,2.9211657
Pharmacie Latour-Bas-Elne,Unknown,Unknown,Unknown,Unknown,Unknown,Palau,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,42.6061832,2.9946472
Cabinet Infirmier,Unknown,Unknown,Unknown,Unknown,Unknown,Palau,doctors,nurse,Unknown,Unknown,Unknown,42.5789675,2.9236769
Pharmacie Clotis,Unknown,Unknown,Unknown,Unknown,Unknown,Palau,pharmacy,pharmacy,+33468220873,Unknown,Unknown,42.6007141,2.9719442
Centre médical,Unknown,Unknown,Unknown,Unknown,Unknown,Palau,doctors,Healthcare Services,Unknown,Unknown,Unknown,42.5655689,2.8997637
Médic'Hall,Unknown,Unknown,Unknown,Unknown,Unknown,Palau,doctors,Healthcare Services,+33 4 68 22 50 94,Unknown,Unknown,42.5728769,2.9614441
Pharmacie Galan,Unknown,Unknown,Unknown,Unknown,Unknown,Palau,pharmacy,Healthcare Services,+33468221408,https://pharmaciegalan.pharminfo.fr/,"Mo-Fr 08:30-12:30,14:30-19:30; Sa 08:30-12:30",42.5729901,2.9619738
