Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Cabinet Médical,Unknown,Unknown,Unknown,Unknown,Unknown,Saint Martin (French part),doctors,Healthcare Services,Unknown,Unknown,Unknown,18.0589431,-63.08607
Dental Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Saint Martin (French part),dentist,dentist,Unknown,Unknown,Unknown,18.0590399,-63.0860804
Orthesia,Unknown,Unknown,Unknown,Unknown,Unknown,Saint Martin (French part),doctors,doctor,Unknown,Unknown,Unknown,18.072285,-63.0805573
Pharmacie Grand-Case,Unknown,Rue de Rambaud,Grand Case,Unknown,Unknown,Saint Martin (French part),pharmacy,pharmacy,Unknown,Unknown,Unknown,18.0994567,-63.058422
Pharmacie de Concordia,Unknown,Unknown,Unknown,Unknown,Unknown,Saint Martin (French part),pharmacy,pharmacy,Unknown,Unknown,Unknown,18.0674516,-63.0772795
Pharmacie Howell Center,Unknown,Unknown,Unknown,Unknown,Unknown,Saint Martin (French part),pharmacy,pharmacy,Unknown,Unknown,Mo-Sa 08:00-19:00,18.0719425,-63.0810014
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Saint Martin (French part),dentist,Healthcare Services,Unknown,Unknown,Unknown,18.096154,-63.0414377
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Saint Martin (French part),dentist,Healthcare Services,Unknown,Unknown,Unknown,18.0969256,-63.0411676
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Saint Martin (French part),dentist,Healthcare Services,Unknown,Unknown,Unknown,18.0676156,-63.0338788
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Saint Martin (French part),doctors,Healthcare Services,Unknown,Unknown,Unknown,18.0674409,-63.0366895
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Saint Martin (French part),doctors,doctor,Unknown,Unknown,Unknown,18.0704801,-63.0824191
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Saint Martin (French part),doctors,Healthcare Services,Unknown,Unknown,Unknown,18.0956715,-63.0389046
Isis Medical,Unknown,Unknown,Unknown,Unknown,Unknown,Saint Martin (French part),doctors,Healthcare Services,+590 690766499,Unknown,Unknown,18.0586064,-63.0865209
Centre de Cardiologie,Unknown,Unknown,Unknown,Unknown,Unknown,Saint Martin (French part),doctors,doctor,+590 590 29 38 45,Unknown,Unknown,18.0598849,-63.0865744
Cabinet Radiologie,Unknown,Unknown,Unknown,Unknown,Unknown,Saint Martin (French part),doctors,Healthcare Services,Unknown,Unknown,Unknown,18.060061,-63.0867613
Unknown,Unknown,Oleander Road,Unknown,Unknown,Unknown,Saint Martin (French part),doctors,doctor,+17215482391,Unknown,Unknown,18.045807,-63.0625463
Unknown,Unknown,Rue de Low Town,Unknown,Unknown,Unknown,Saint Martin (French part),dentist,Healthcare Services,Unknown,Unknown,Unknown,18.0604704,-63.0864372
Pharmacie Caraibes,Unknown,Unknown,Unknown,Unknown,Unknown,Saint Martin (French part),pharmacy,Healthcare Services,Unknown,Unknown,Unknown,18.0965944,-63.0403504
