Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Seychelles,dentist,dentist,Unknown,Unknown,Unknown,-4.6229325,55.4556105
Behram's Pharmacy,Unknown,Unknown,Unknown,Unknown,Unknown,Seychelles,pharmacy,pharmacy,Unknown,Unknown,Unknown,-4.619824,55.4545832
DentalNClinic,Unknown,Unknown,Unknown,Unknown,Unknown,Seychelles,hospital,hospital,Unknown,Unknown,Unknown,-4.6409531,55.4762295
Euromedical Family Clinic,Unknown,Eden Island Marina,Mahe,SEZ,Unknown,Seychelles,hospital,hospital,Unknown,Unknown,Unknown,-4.6407882,55.4759601
Euromedical Family Clinic (Providence branch),Unknown,Providence,Mahe,SC,Unknown,Seychelles,hospital,hospital,Unknown,Unknown,Unknown,-4.6512526,55.4838853
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Seychelles,pharmacy,pharmacy,Unknown,Unknown,Unknown,-4.6206835,55.4521555
Eden Pharmacy,Unknown,Marina Drive,Mahe,SEZ,Unknown,Seychelles,pharmacy,pharmacy,+2484324999 ext 3,https://euromedical.info/,Mo-Fr 09:00-19:00; Sa 10:00-18:00; Su 10:00-15:00,-4.6407405,55.4760824
Good Health Pharmacy,Unknown,Mont Fleury Road,Unknown,Unknown,Unknown,Seychelles,pharmacy,pharmacy,Unknown,Unknown,Unknown,-4.6326402,55.4615983
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Seychelles,pharmacy,pharmacy,Unknown,Unknown,Unknown,-4.6397342,55.4654791
Lanka,Unknown,Unknown,Unknown,Unknown,Unknown,Seychelles,doctors,doctor,Unknown,Unknown,Mo-Fr 09:00-16:30,-4.6245048,55.4526111
Central point,Unknown,Unknown,Unknown,Unknown,Unknown,Seychelles,pharmacy,pharmacy,Unknown,Unknown,Mo-Su 09:00-17:00,-4.6267191,55.4542667
Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Seychelles,pharmacy,Healthcare Services,Unknown,Unknown,Unknown,-4.6295472,55.4606809
