Name,Full Address,Street,City,Postcode,State,Country,Amenity,Healthcare,Phone,Website,Opening Hours,Latitude,Longitude
National Neuroscience Institute,Unknown,Jalan Tan Tock Seng,Singapore,308433,Unknown,Singapore,doctors,Healthcare Services,+65 63306363,https://www.nni.com.sg/,Mo-We 08:00-17:30;Th 08:00-17:00;Fr 08:00-17:30,1.3220719,103.8455834
Singapore Buddist Free Clinic (Ang Mo Kio),Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,doctors,doctor,Unknown,https://www.sbfc.org.sg/,Unknown,1.3661806,103.8477074
Namly Animal Clinic,Unknown,Namly Place,Singapore,267223,Unknown,Singapore,veterinary,Healthcare Services,+65 6469 4744,Unknown,Unknown,1.3241004,103.7967301
Adam Road Medical Center,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,doctors,doctor,Unknown,Unknown,Unknown,1.3236806,103.8102598
OneDoctors,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,clinic,clinic,Unknown,Unknown,Unknown,1.3710916,103.848313
Jireh Veterinary Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,veterinary,Healthcare Services,Unknown,Unknown,Unknown,1.3584068,103.827552
Azure Dental,Unknown,Bukit Timah Road,Singapore,269759,Unknown,Singapore,dentist,dentist,Unknown,Unknown,"Mo,Th 09:00-21:00; Tu,We,Fr,Sa 09:00-17:00",1.3310028,103.7963823
Icon Dental Surgeons,Unknown,Bukit Timah Road,Unknown,Unknown,Unknown,Singapore,dentist,Healthcare Services,Unknown,Unknown,Unknown,1.3314921,103.7948908
Family Health Clinic & Surgery,Unknown,Thomson Road,Unknown,Unknown,Unknown,Singapore,clinic,clinic,Unknown,Unknown,Mo-Fr 10:00-20:00; Sa-Su 10:00-17:00,1.3258868,103.8422296
The Family Doctor,Unknown,Upper Thomson Road,Singapore,Unknown,Unknown,Singapore,doctors,doctor,Unknown,Unknown,Unknown,1.3523595,103.8349452
Suwen TCM Clinic Pte Ltd,Unknown,Upper Thomson Road,Singapore,Unknown,Unknown,Singapore,clinic,clinic,Unknown,Unknown,Unknown,1.3524338,103.8349052
LVDA Dental Centre,Unknown,Upper Thomson Road,Singapore,Unknown,Unknown,Singapore,dentist,dentist,Unknown,Unknown,Unknown,1.3528108,103.8344487
Q&M Dental Centre,Unknown,Balestier Road,Unknown,Unknown,Unknown,Singapore,dentist,dentist,Unknown,Unknown,Unknown,1.3263297,103.8427334
Dental Surgery,Unknown,Ang Mo Kio Avenue 8,Singapore,Unknown,Unknown,Singapore,dentist,dentist,Unknown,Unknown,Unknown,1.3692387,103.8498585
Hill Spring Medical,Unknown,Jalan Leban,Singapore,Unknown,Unknown,Singapore,doctors,doctor,Unknown,Unknown,Unknown,1.3715535,103.8291137
The Oral Maxillofacial Practice,Unknown,Irrawaddy Road,Singapore,329563,Unknown,Singapore,doctors,doctor,6737-1649,https://omfp.com.sg/,Unknown,1.3221308,103.8443128
Guardian,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,pharmacy,pharmacy,Unknown,Unknown,Unknown,1.3505214,103.8487601
Unity,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,pharmacy,pharmacy,Unknown,Unknown,Unknown,1.3508573,103.8485457
Animal Ark Veterinary Clinic,Unknown,11 Binjai Park,Unknown,Unknown,Unknown,Singapore,veterinary,Healthcare Services,Unknown,https://www.arkvet.com.sg/,Unknown,1.3361308,103.7868529
Guardian,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,pharmacy,pharmacy,Unknown,Unknown,Unknown,1.3329443,103.8492586
Nam Sang Veterinary Clinic,Unknown,Balestier Road,Unknown,Unknown,Unknown,Singapore,veterinary,Healthcare Services,+65 6258 8138,https://www.namsangvetclinic.com/,"Mo 10:00-13:00; Tu 10:00-14:00,15:00-18:00; We 10:00-14:00,15:00-17:00; Th 10:00-14:00,15:00-18:00; Fr 10:00-14:00,15:00-17:00; Sa 10:00-14:00,15:00-18:00; Su,PH off",1.3260923,103.8436001
Guardian,Unknown,Ah Hood Road,Unknown,Unknown,Unknown,Singapore,pharmacy,pharmacy,Unknown,Unknown,Unknown,1.3270712,103.8466779
Hyperbaric Medical Services,Unknown,Thomson Road,Unknown,Unknown,Unknown,Singapore,clinic,clinic,Unknown,Unknown,"Mo-Fr 09:00-18:00; Sa 09:00-13:00; Su,PH off",1.3247768,103.8422485
Advanced Vetcare,Unknown,Balestier Road,Unknown,Unknown,Unknown,Singapore,veterinary,Healthcare Services,+65 6565 1788,https://www.advancedvetcare.sg/,Mo-Su 10:00-19:00,1.3268965,103.8443108
Priya Sen Skin & Laser Centre,Unknown,Serene Centre #02-03,Singapore,258748,Unknown,Singapore,hospital,hospital,Unknown,Unknown,Unknown,1.3225665,103.8136561
Mount Pleasant Vet Centre,Unknown,Jalan Gelenggang,Unknown,Unknown,Unknown,Singapore,veterinary,Healthcare Services,Unknown,Unknown,Unknown,1.3730962,103.8298535
Carelink,Unknown,Balestier Road,Unknown,Unknown,Unknown,Singapore,clinic,clinic,Unknown,Unknown,Unknown,1.3259807,103.8501156
Unihealth Toa Payoh,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,clinic,clinic,Unknown,Unknown,24/7,1.3335469,103.8493034
Raffles Medical,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,clinic,clinic,Unknown,Unknown,Unknown,1.333908,103.8495277
LiveWell Medical,Unknown,Ah Hood Road,Unknown,Unknown,Unknown,Singapore,clinic,clinic,+65 6909 9888,Unknown,"Mo-Fr 08:30-13:30,18:00-21:30; Sa-Su,PH 18:30-21:30",1.3267486,103.8465576
Dr. W Family Clinic,Unknown,Empress Road,Unknown,Unknown,Unknown,Singapore,clinic,clinic,Unknown,Unknown,"Mo-We 8:00-17:00, Th-Sa 8:00-12:00",1.3164845,103.8055343
Yap Medicare Clinic & Surgery,Unknown,Empress Road,Unknown,Unknown,Unknown,Singapore,clinic,clinic,Unknown,Unknown,"Mo 08:30-20:30, Tu-Fr 08:30-15:30, Sa-Su 08:30-11:30",1.3165799,103.805643
Phoenix Medical Group Novena,Unknown,Thomson Road,Singapore,309194,Unknown,Singapore,doctors,doctor,Unknown,Unknown,Sa 09:00-14:00,1.3211611,103.8416434
Veterinary Emergency & Specialty Hospital,Unknown,Whitley Road,Unknown,297834,Unknown,Singapore,veterinary,Healthcare Services,+65 6266 0232,https://www.veshospital.com.sg/,24/7,1.3256945,103.8271086
NTUC Health Denticare (Bishan),Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,dentist,dentist,Unknown,Unknown,Unknown,1.3489348,103.849542
Guardian,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,pharmacy,pharmacy,Unknown,Unknown,Unknown,1.3496673,103.8500176
Eye Care Clinic Bishan,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,clinic,clinic,Unknown,Unknown,Unknown,1.3483241,103.8495404
Tanglin Dental @ Bishan,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,dentist,dentist,Unknown,Unknown,Unknown,1.3491908,103.8490322
The Smile Clinique,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,dentist,dentist,Unknown,Unknown,Unknown,1.3485077,103.8495687
Pure Dental,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,dentist,dentist,Unknown,Unknown,Unknown,1.3486686,103.8493614
Royce Dental Surgery,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,dentist,dentist,Unknown,Unknown,Unknown,1.3483334,103.8492972
T P Sim Family Clinic & Surgery,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,clinic,clinic,Unknown,Unknown,Unknown,1.3484422,103.8495658
Prudence Family Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,clinic,clinic,Unknown,Unknown,Unknown,1.3494771,103.8499904
DA Clinic @ Bishan,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,clinic,clinic,Unknown,Unknown,Unknown,1.3483221,103.8493688
Astra Women's Specialist Centre,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,clinic,clinic,Unknown,Unknown,Unknown,1.3485176,103.8485376
Lifeline Bishan Medical Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,clinic,clinic,Unknown,Unknown,Unknown,1.3482867,103.8495324
T&T Dental Surgery,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,dentist,dentist,Unknown,Unknown,Unknown,1.3486548,103.8485713
NTUC Health Denticare (Ang Mo Kio),Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,dentist,dentist,Unknown,Unknown,Unknown,1.3693255,103.8483566
Watsons,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,pharmacy,pharmacy,Unknown,Unknown,Unknown,1.369613,103.8488919
Guardian,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,pharmacy,pharmacy,Unknown,Unknown,Unknown,1.3705653,103.8472831
Liverpool Dental Care,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,dentist,dentist,Unknown,Unknown,Unknown,1.3702097,103.8473144
Raffles Medical,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,clinic,clinic,Unknown,Unknown,Unknown,1.3724889,103.8474507
Kids First Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,clinic,clinic,Unknown,Unknown,Unknown,1.3723101,103.8474714
Life Family Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,clinic,clinic,Unknown,Unknown,Unknown,1.3714569,103.8467562
depacific,Unknown,Balestier Road,Unknown,329861,Unknown,Singapore,dentist,dentist,Unknown,Unknown,Unknown,1.3266743,103.8454947
B9 Dental Centre,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,dentist,dentist,Unknown,Unknown,Unknown,1.3328507,103.8477212
Watsons,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,pharmacy,pharmacy,Unknown,Unknown,Unknown,1.3328945,103.8481446
Doctors Inc Medical Group,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,clinic,clinic,Unknown,Unknown,Unknown,1.3335559,103.8496979
Smile Central Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,dentist,dentist,Unknown,Unknown,Unknown,1.3320964,103.8501775
Guardian,Unknown,Thomson Road,Singapore,307683,Unknown,Singapore,pharmacy,pharmacy,+65 6252 7019,https://www.guardian.com.sg/,Mo-Su 10:00-21:00,1.3200693,103.8436057
Companion Animal Surgery,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,veterinary,Healthcare Services,Unknown,Unknown,Unknown,1.326221,103.8496302
Kang Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,clinic,clinic,Unknown,Unknown,Unknown,1.3739658,103.85489
Atrio Family Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,clinic,clinic,Unknown,Unknown,Unknown,1.3738781,103.8549642
Gainhealth Clinic and Homecare,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,clinic,clinic,Unknown,Unknown,Unknown,1.3733471,103.8546373
Immanuel Dialysis Centre,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,clinic,clinic,Unknown,Unknown,Unknown,1.3722759,103.8553457
Chua Medico Clinic,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,clinic,clinic,Unknown,Unknown,Unknown,1.3723173,103.8550581
Vital Care,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,clinic,clinic,Unknown,Unknown,Unknown,1.3725978,103.8540144
Mandarin Dental Centre,Unknown,Unknown,Unknown,Unknown,Unknown,Singapore,dentist,dentist,Unknown,Unknown,Unknown,1.3616299,103.8519941
